chapter_id,chapter
51,"Laine, poils fins,ou grossiers; fils et tissus de crin     

Laine, poils fins,ou grossiers; fils et tissus de crin"
52,Coton
53,Autres fibres textiles végétales; fils de papier et tissus de fils de papier
54,Filaments synthétiques ou artificiels
55,Fibres synthétiques ou artificielles discontinues
56,"Ouates, feutres et nontissés; fibres spéciaux; ficelles; cordes et cordages; articles de corderies"
57,Tapis et autres revêtements de sol en matières textiles
58,Tissus spéciaux; surfaces textiles touffetées; dentelles; tapisseries; passementeries; broderies
59,"Tissus imprégnés, enduits, recouverts ou stratifiés; articles techniques en matières textiles"
60,Etoffes de bonneterie
61,"Vêtements et accessoires du vêtement, en bonneterie"
62,"Vêtements et accessoires du vêtement, autres qu'en bonneterie"
63,Autres articles textiles confectionnés; assortiments; friperie et chiffons
64,"Chaussures, guêtres et articles analogues, parties de ces objets"
65,Coiffures et parties de coiffures
66,"Parapluies, ombrelles, parasols, cannes, cannes-sièges, fouets, cravaches, et leurs parties"
67,Plumes et duvet apprêtés et articles en plumes ou en duvet; fleurs artificielles; ouvrages en cheveux
68,"Ouvrages en pierre, plâtre, ciment, amiante, mica ou matières analogues"
69,Produits céramiques
70,Verre et ouvrages en verre
71,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaqués ou doublés de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies"
72,"Fonte, fer et acier"
73,"Ouvrages en fonte, fer ou acier"
74,Cuivre et ouvrages en cuivre
75,Nickel et ouvrages en nickel
76,Aliminium et ouvrages en aliminium
77,(Réservé pour  une utilisation future éventuelle dans le système harmonisé)
78,Plomb et ouvrages en plomb
79,Zink et ouvrages en zink
80,Etain et ouvrages en étain
81,Autres métaux communs; cermets; ouvages en ces matières
82,"Outils et outillage, articles de coutellerie et couverts de table, en métaux communs, parties de ces articles, en métaux communs"
83,Ouvrages divers en métaux communs
84,"Réacteurs nucléaires, chaudières, machines, appareils et engins mécaniques; parties de ces machines ou appareils"
85,"Machines, appareils, et matériels électroniques et leurs parties; appareils et engins mécaniques; parties de ces machines ou appareils"
86,Véhicules et matériel pour voies ferrées ou similaires et leurs parties; appareils mécaniques (ycompris électromécaniques) de signalisation pour voies de communication
87,"Voitures automobiles, tracteurs, cycles et autres véhicules terrestres, leurs parties et accessoires"
88,Navigation aérienne ou spatiale
89,Navigation maritime ou fluviale
90,"Instruments et appareils d'optique, de photographie ou de cinématographie, de mesure, de contrôle ou de précision; instruments de musique; parties et accessoires de ces instruments ou appareils"
91,Horlogerie
92,Instruments de musique; parties et accessoires de ces instruments
93,"Armes, munitions et leurs parties et accessoires"
94,Meubles; mobilier médico-chirurgical; articles de literie et similaires; appareils d'éclairage non dénommés ni compris ailleurs; lampes-réclames; enseignes lumineuses et articles similaires; constructions préfabriquées
95,"Jouets, jeux, articles pour divertissements ou pour sports; leurs parties et accessoires"
96,Ouvrages divers
97,"Objets d'art, de collection ou d'antiquité"
98,Réservé pour certains usages particuliers par les Parties Contractantes
99,Réservé pour certains usages particuliers par les Parties Contractantes
